"","SEQN","INDFMMPI","INDFMMPC"
"399",109661,3.55,3
"400",109662,NA,9
"401",109663,5,3
"402",109664,1.95,3
"403",109665,2.84,3
"404",109666,0.86,1
"405",109667,2.13,3
"406",109668,0.94,1
"407",109669,0.93,1
"408",109670,0.75,1
"409",109671,3.82,3
"410",109672,5,3
"411",109673,NA,9
"412",109674,0.53,1
"413",109675,5,3
"414",109676,2.79,3
"415",109677,4.59,3
"416",109678,0.8,1
"417",109679,1.41,2
"418",109680,4.5,3
"419",109681,NA,NA
"420",109682,1.18,1
"421",109683,0.73,1
"422",109684,0,1
"423",109685,2.2,3
"424",109686,0.44,1
"425",109687,2.57,3
"426",109688,5,3
"427",109689,0.9,1
"428",109690,2.08,3
"429",109691,0.9,1
"430",109692,2.89,3
"431",109693,0.73,1
"432",109694,5,3
"433",109695,2.45,3
"434",109696,NA,NA
"435",109697,0.82,1
"436",109698,NA,2
"437",109699,0.51,1
"438",109700,3.06,3
"439",109701,5,3
"440",109702,4.27,3
"441",109703,3.98,3
"442",109704,3.55,3
"443",109705,0.74,1
"444",109706,0.46,1
"445",109707,0.68,1
"446",109708,0.49,1
"447",109709,5,3
"448",109710,1.6,2
"449",109711,1.18,1
"450",109712,NA,NA
"451",109713,2.25,3
"452",109714,5,3
"453",109715,0,1
"454",109716,0.59,1
"455",109717,0.8,1
"456",109718,2.4,3
"457",109719,4.62,3
"458",109720,NA,1
"459",109721,NA,9
"460",109722,NA,1
"461",109723,NA,3
"462",109724,NA,1
"463",109725,NA,1
"464",109726,1.66,2
"465",109727,NA,3
"466",109728,0.89,1
"467",109729,2.32,3
"468",109730,0.21,1
"469",109731,0.41,1
"470",109732,5,3
"471",109733,2.78,3
"472",109734,1.85,2
"473",109735,1.46,2
"474",109736,NA,1
"475",109737,1.94,3
"476",109738,NA,NA
"477",109739,1.68,2
"478",109740,NA,9
"479",109741,0.57,1
"480",109742,5,3
"481",109743,NA,3
"482",109744,1.17,1
"483",109745,1.13,1
"484",109746,1.86,3
"485",109747,1.9,3
"486",109748,1.46,2
"487",109749,NA,7
"488",109750,1.67,2
"489",109751,5,3
"490",109752,1.24,1
"491",109753,0.99,1
"492",109754,0.83,1
"493",109755,1.19,1
"494",109756,NA,NA
"495",109757,3.53,3
"496",109758,NA,NA
"497",109759,5,3
"498",109760,3.69,3
"499",109761,3.21,3
"500",109762,5,3
"501",109763,0.88,1
"502",109764,2.22,3
"503",109765,1.02,1
"504",109766,0.46,1
"505",109767,NA,NA
"506",109768,5,3
"507",109769,1.13,1
"508",109770,5,3
"509",109771,5,3
"510",109772,0,1
"511",109773,1.49,2
"512",109774,1.76,2
"513",109775,NA,1
"514",109776,1.08,1
"515",109777,NA,2
"516",109778,5,3
"517",109779,0.79,1
"518",109780,1.08,1
"519",109781,1.22,1
"520",109782,2.22,3
"521",109783,0.74,1
"522",109784,3.73,3
"523",109785,NA,NA
"524",109786,1.15,1
"525",109787,1.22,1
"526",109788,2.19,3
"527",109789,5,3
"528",109790,2.2,3
"529",109791,2,3
"530",109792,3.98,3
"531",109793,4.8,3
"532",109794,2.44,3
"533",109795,4.77,3
"534",109796,0.28,1
"535",109797,0.13,1
"536",109798,0.89,1
"537",109799,0.45,1
"538",109800,3.98,3
"539",109801,NA,1
"540",109802,0.98,1
"541",109803,0.83,1
"542",109804,NA,1
"543",109805,2.92,3
"544",109806,1.63,2
"545",109807,5,3
"546",109808,4.17,3
"547",109809,5,3
"548",109810,3.82,3
"549",109811,NA,3
"550",109812,5,3
"551",109813,1.99,3
"552",109814,0.25,1
"553",109815,3.87,3
"554",109816,2.39,3
"555",109817,5,3
"556",109818,0.98,1
"557",109819,0.51,1
"558",109820,0.84,1
"559",109821,2.31,3
"560",109822,4.27,3
"561",109823,5,3
"562",109824,NA,9
"563",109825,0.41,1
"564",109826,NA,NA
"565",109827,NA,NA
"566",109828,5,3
"567",109829,1.26,1
"568",109830,0.75,1
"569",109831,3.64,3
"570",109832,0.5,1
"571",109833,2.81,3
"572",109834,0.73,1
"573",109835,NA,NA
"574",109836,0.4,1
"575",109837,4.58,3
"576",109838,5,3
"577",109839,1.13,1
"578",109840,0.28,1
"579",109841,1.42,2
"580",109842,0.99,1
"581",109843,1.91,3
"582",109844,3.27,3
"583",109845,1.99,3
"584",109846,NA,NA
